## UCR Liftover Audit Report
## Generated: 2026-03-17T20:41:18.329866+00:00
## Source: UCSC unusualcons/ultras table (hg38.ultraConserved.bb)
## Source assembly: GRCh38 / hg38
## Target assembly: T2T-CHM13v2.0 / Hs1
## Chain file: hg38ToHs1.over.chain.gz
## UCSC ultras bigBed SHA-256: 6313da26f27000389de7fea2e0676cbb162c9ed9c862938c9553aaf08e4c680e
## Chain SHA-256: 926d4583eda8f90c88434293859b06906573f2469630e898b8b475ac8751327a
##
ucr_id	hg38_chrom	hg38_start	hg38_end	hg38_length	status	t2t_chrom	t2t_start	t2t_end	t2t_length	delta_length	delta_start	chrom_changed	reason
uc.1	chr1	10537639	10537846	207	MAPPED	chr1	10081258	10081465	207	0	-456381	NO	
uc.2	chr1	10672485	10672692	207	MAPPED	chr1	10216076	10216283	207	0	-456409	NO	
uc.3	chr1	10691107	10691332	225	MAPPED	chr1	10234698	10234923	225	0	-456409	NO	
uc.4	chr1	10698191	10698550	359	MAPPED	chr1	10241783	10242142	359	0	-456408	NO	
uc.5	chr1	10721293	10721507	214	MAPPED	chr1	10264885	10265099	214	0	-456408	NO	
uc.6	chr1	10735063	10735364	301	MAPPED	chr1	10278656	10278957	301	0	-456407	NO	
uc.7	chr1	10776075	10776331	256	MAPPED	chr1	10319740	10319996	256	0	-456335	NO	
uc.8	chr1	10791760	10791976	216	MAPPED	chr1	10335479	10335695	216	0	-456281	NO	
uc.9	chr1	10865352	10865554	202	MAPPED	chr1	10409249	10409451	202	0	-456103	NO	
uc.10	chr1	10905516	10905791	275	MAPPED	chr1	10449421	10449696	275	0	-456095	NO	
uc.12	chr1	35184625	35184826	201	MAPPED	chr1	35047294	35047495	201	0	-137331	NO	
uc.13	chr1	35893588	35893825	237	MAPPED	chr1	35756481	35756718	237	0	-137107	NO	
uc.14	chr1	38029331	38029544	213	MAPPED	chr1	37896511	37896724	213	0	-132820	NO	
uc.15	chr1	38095403	38095636	233	MAPPED	chr1	37962601	37962834	233	0	-132802	NO	
uc.16	chr1	38162526	38162737	211	MAPPED	chr1	38029733	38029944	211	0	-132793	NO	
uc.17	chr1	38336478	38336715	237	MAPPED	chr1	38203689	38203926	237	0	-132789	NO	
uc.18	chr1	44249988	44250226	238	MAPPED	chr1	44120887	44121125	238	0	-129101	NO	
uc.19	chr1	44524639	44524895	256	MAPPED	chr1	44395526	44395782	256	0	-129113	NO	
uc.20	chr1	44536699	44536968	269	MAPPED	chr1	44407582	44407851	269	0	-129117	NO	
uc.21	chr1	48647313	48647548	235	MAPPED	chr1	48526085	48526320	235	0	-121228	NO	
uc.22	chr1	50540558	50540866	308	MAPPED	chr1	50420177	50420485	308	0	-120381	NO	
uc.23	chr1	50570104	50570333	229	MAPPED	chr1	50450035	50450264	229	0	-120069	NO	
uc.24	chr1	50633472	50633808	336	MAPPED	chr1	50513404	50513740	336	0	-120068	NO	
uc.25	chr1	50700361	50700596	235	MAPPED	chr1	50580299	50580534	235	0	-120062	NO	
uc.26	chr1	62903974	62904186	212	MAPPED	chr1	62782103	62782315	212	0	-121871	NO	
uc.27	chr1	62904208	62904498	290	MAPPED	chr1	62782337	62782627	290	0	-121871	NO	
uc.28	chr1	70231029	70231384	355	MAPPED	chr1	70109547	70109902	355	0	-121482	NO	
uc.29	chr1	87356699	87356918	219	MAPPED	chr1	87199401	87199620	219	0	-157298	NO	
uc.30	chr1	87563316	87563559	243	MAPPED	chr1	87406555	87406798	243	0	-156761	NO	
uc.31	chr1	88462334	88462587	253	MAPPED	chr1	88305842	88306095	253	0	-156492	NO	
uc.33	chr1	96806180	96806492	312	MAPPED	chr1	96654292	96654604	312	0	-151888	NO	
uc.34	chr1	96814615	96814823	208	MAPPED	chr1	96662724	96662932	208	0	-151891	NO	
uc.35	chr1	97536725	97536930	205	MAPPED	chr1	97384602	97384807	205	0	-152123	NO	
uc.36	chr1	108697805	108698069	264	MAPPED	chr1	108731058	108731322	264	0	33253	NO	
uc.37	chr1	114737431	114737633	202	MAPPED	chr1	114748874	114749076	202	0	11443	NO	
uc.38	chr1	163970717	163970941	224	MAPPED	chr1	163316282	163316506	224	0	-654435	NO	
